"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RUNDC3A",379.83664295944,-2.78789656839026,0.307598579119275,-9.06342472833473,1.26417652477005e-19,2.16464946336376e-15
"APLP1",1798.14493018708,-2.49217975605499,0.280503795786278,-8.88465608484611,6.41188087073723e-19,5.48953180748168e-15
"CYP46A1",31.7510495678483,-2.01346855275218,0.235303733780162,-8.55689164130862,1.159514262884e-17,4.50745154239699e-14
"MSI1",118.347046372026,-1.92894695686991,0.225971620604064,-8.53623544281124,1.38665661907289e-17,4.50745154239699e-14
"PART1",43.928893573894,-2.96898064425586,0.348423887634431,-8.52117420654846,1.57943755500683e-17,4.50745154239699e-14
"PDZD4",262.668582098808,-1.65979439444328,0.193445452431798,-8.58016755409882,9.47350438091638e-18,4.50745154239699e-14
"TMEM145",36.026958378486,-2.45341950997524,0.292217253112428,-8.39587493155754,4.62437675645259e-17,1.13118861715339e-13
"REEP2",254.038696519065,-1.94632660254513,0.234638663227476,-8.29499527389576,1.08589522528975e-16,2.32422299282955e-13
"SPTBN4",170.194105187853,-2.16147646168093,0.262931457910135,-8.22068412376764,2.02345570278841e-16,3.84973688876066e-13
"SLC12A5",21.2312714134677,-2.28418756266414,0.278288791380881,-8.20797543203195,2.24949225969247e-16,3.85180559627141e-13
"C6orf58",48.0300790364585,-4.20356986073313,0.519173599505669,-8.09665565571046,5.64906820937503e-16,8.79354499537534e-13
"LOC728392",684.40725856848,-1.65724271469897,0.209632361522315,-7.90547176334965,2.66920772558272e-15,3.80873699042941e-12
"FBLL1",55.8783599938909,-2.0612698807746,0.262575068932166,-7.85021170957823,4.15335550389836e-15,5.47060817640397e-12
"FAM5B",6.91193274783834,-2.35451439043943,0.300695563355358,-7.83022657257131,4.86991544147729e-15,5.95625443602968e-12
"HCN2",52.4915119480144,-1.73158837719553,0.223842458863589,-7.73574587228229,1.02798621352976e-14,1.17348052895134e-11
"CDK5R2",152.537939110721,-2.22018386079269,0.289238635136216,-7.67595884881388,1.64185832747918e-14,1.47966000744347e-11
"MGC42105",29.9266261188511,-1.71034010234931,0.222667436383473,-7.68114157206084,1.57677107007442e-14,1.47966000744347e-11
"PCSK1N",1897.23814423775,-2.44963119270307,0.318700367407798,-7.68631430402026,1.51434218206189e-14,1.47966000744347e-11
"SYP",522.540373840723,-2.11460091800787,0.274761250843186,-7.69613950845905,1.40238694117217e-14,1.47966000744347e-11
"ATP6V0E2-AS1",53.5371456656532,-1.47046503817482,0.192803212599821,-7.62676626777427,2.40715450463046e-14,2.06088532913937e-11
"C7orf51",92.3223380512962,-1.59154294982074,0.208998337877945,-7.61509859829699,2.63490252439603e-14,2.14844932977301e-11
"ATP2B1-AS1",48.1936347426837,-1.21129945898676,0.160664762714401,-7.53929759408403,4.7250956874988e-14,3.677627884411e-11
"CASKIN1",17.5349860315111,-2.16135367837722,0.287399885828425,-7.5203706923792,5.46211517033132e-14,4.01897712032328e-11
"TCEAL2",185.678857346271,-2.24056230328872,0.298092195576697,-7.51634003350563,5.63309296780697e-14,4.01897712032328e-11
"SRRM4",3.71311395518615,-2.80382923117112,0.373631213545254,-7.50426926210628,6.17722138334192e-14,4.23090246987855e-11
"TCEAL5",55.2759995904878,-1.68694402568345,0.226390284670382,-7.45148595108486,9.22947222358359e-14,6.07831741863161e-11
"PEMT",441.664762485527,-1.26816425104855,0.17032033166768,-7.4457596379211,9.63881607480566e-14,6.11279435736657e-11
"TMEM63C",307.81091010647,-2.43241268352388,0.327522523507083,-7.42670353622649,1.11337519558082e-13,6.80868695497512e-11
"DIRAS1",133.634149376005,-1.68599163614916,0.227832041346341,-7.40015155983344,1.36029152644985e-13,7.98850435250603e-11
"SYT3",19.228343369446,-1.67177846480421,0.226026978615589,-7.39636690736575,1.39960947599825e-13,7.98850435250603e-11
"PCDHA1",32.4780013665061,-2.09828415296852,0.285914190287039,-7.33885978468567,2.15421144841243e-13,1.15270508222394e-10
"CAMK2B",283.863097257605,-2.30975534972941,0.314912641723397,-7.3345907521813,2.22400023600078e-13,1.15398654669822e-10
"ACSL6",27.8815895307454,-1.89467875315706,0.258789893013042,-7.32130119572165,2.45577939666988e-13,1.21997049651112e-10
"RND2",52.9517881783331,-1.37127584006542,0.187352036632723,-7.31924704268686,2.4936615883834e-13,1.21997049651112e-10
"GAST",25.183420097373,-4.55584570791793,0.627326182457942,-7.26232354923806,3.80496706331275e-13,1.80485010580602e-10
"JPH3",71.4607876133008,-1.79363474606309,0.247091588265078,-7.25898748175472,3.8999856283842e-13,1.80485010580602e-10
"CELF3",384.59318520122,-2.46713406004599,0.342264737643534,-7.20826246090092,5.66703223332871e-13,2.49515232879471e-10
"SEZ6",48.9250012491312,-2.28570086293571,0.317111483932137,-7.20787791912594,5.68305441937708e-13,2.49515232879471e-10
"LRRC10B",103.098965638059,-1.83169544635612,0.254311074324287,-7.20257838249081,5.90844560018618e-13,2.5292578502997e-10
"MPP2",180.526291366016,-1.5513631652521,0.215623735085939,-7.19476992935767,6.25661740267079e-13,2.61297706794956e-10
"FAM57B",15.4886543701843,-1.94489906048872,0.270742498030234,-7.18357507461401,6.79117161409773e-13,2.76869598924275e-10
"BAI3",35.395776337786,-1.85343601085182,0.258452616270182,-7.17127974016819,7.42999039220521e-13,2.95869129036581e-10
"MAST1",55.6634510750827,-1.7667940508594,0.248409044647054,-7.1124384918017,1.14010351919174e-12,4.43681649070913e-10
"GPR162",151.306237637054,-1.2399018946817,0.174599582685818,-7.10140239517544,1.23497216994358e-12,4.66188790047051e-10
"KHDRBS2",3.77991794120112,-2.49133107779774,0.350918050993456,-7.09946687195124,1.25239060574458e-12,4.66188790047051e-10
"LRRC4B",56.8306328297437,-1.40297098697062,0.19786197115973,-7.09065505992572,1.33478665011003e-12,4.86288336379447e-10
"FAM69B",225.915698903973,-1.1318771804627,0.159906842976285,-7.07835361761576,1.4587710252316e-12,5.20386172188348e-10
"DUSP26",202.842969149906,-2.003022048097,0.283103740543101,-7.07522282911006,1.49208806333017e-12,5.21408651191889e-10
"LRRC16B",46.3868723244872,-1.49807101934786,0.212030403538727,-7.06535946895106,1.60200739701899e-12,5.48623453183125e-10
"TTLL6",78.4058155849528,-1.7718627258323,0.251610667815174,-7.04208108987596,1.89389546671107e-12,6.35866119146933e-10
"NCAM1",541.938763602863,-1.77349658111111,0.252660571900234,-7.01928507393467,2.23006366883678e-12,7.34334234644081e-10
"CACNA1A",219.364015552614,-1.83999664024266,0.262373523678997,-7.0128899228941,2.33445118616817e-12,7.54203918127501e-10
"SLC16A11",48.4712795883235,-1.52752146609032,0.219714887658394,-6.9522893162582,3.59405357333539e-12,1.13964776548559e-09
"PPP1R3F",131.730214943815,-1.06358279597097,0.153258308420398,-6.93980513639425,3.92641159353818e-12,1.22239901302099e-09
"CALY",207.308884880551,-2.478507277914,0.358473198427396,-6.91406579009837,4.70956584043304e-12,1.44003385510241e-09
"IQSEC3",110.529971626034,-1.58535655026119,0.22938507622366,-6.9113325782162,4.80121948613365e-12,1.44230318001871e-09
"LINC00926",148.012108919747,-1.69707580245244,0.245678270899697,-6.90771632443354,4.92517587283548e-12,1.45403080121659e-09
"CELF4",83.1521761907189,-1.93023373643368,0.27953151416243,-6.90524552202033,5.01166729404497e-12,1.454487780948e-09
"CELF5",26.2359356284868,-1.6172398320879,0.234377051325195,-6.90016289113561,5.19429438317617e-12,1.48236504538543e-09
"CHD5",50.6694878878562,-1.81399363153709,0.263132825986909,-6.89383251494186,5.4308961752913e-12,1.52447926572972e-09
"ACTL6B",47.5487581394929,-2.86437781964663,0.415657720030984,-6.891193598986,5.53261814939022e-12,1.52798420277433e-09
"VWA5B2",296.624756132143,-2.25368226197298,0.327785866579744,-6.87547112841944,6.17853200317163e-12,1.67928576968743e-09
"SEPT5",645.907243614512,-1.04276276338987,0.152197535047741,-6.85137747508708,7.31422302989632e-12,1.95689751470179e-09
"INSM1",288.978574232474,-2.24858879854033,0.328604408918071,-6.84284427571682,7.76360339192608e-12,2.03764427950179e-09
"CAPSL",7.8862386443313,-2.56601628825768,0.37560676214908,-6.8316562608615,8.39397899427738e-12,2.14522540774644e-09
"GDF1",10.7981866019966,-1.9585650538236,0.287424365314223,-6.81419284576805,9.47944744251171e-12,2.3848820166766e-09
"HCN4",26.0884906212646,-1.77293169149949,0.26025748405775,-6.81222174231918,9.61028202713809e-12,2.3848820166766e-09
"RSPH9",19.3312283787184,-1.43301618517168,0.210980783598977,-6.79216448401998,1.10463498515449e-11,2.70209497868577e-09
"AP3B2",101.700994433918,-1.85305333119896,0.273255800627505,-6.78138698956655,1.19027566509107e-11,2.87057608638794e-09
"WNK4",125.920336311278,-1.90653278921654,0.281307879825506,-6.77738849832132,1.22367522190273e-11,2.91013761453339e-09
"MAPT",165.345843031104,-1.60977706573185,0.237633409871327,-6.77420345314032,1.25093533502029e-11,2.93421448514417e-09
"TMEM59L",158.937061580329,-1.63132886664437,0.24113744944893,-6.76514108601727,1.33179354317968e-11,3.08166227565753e-09
"SHISA7",14.1107974881333,-2.29948422831855,0.341256210506136,-6.73829268896838,1.60258501333543e-11,3.65880842444567e-09
"TMEM179",17.9637249911494,-2.5730129367515,0.382128687528503,-6.73336763432497,1.65780477559903e-11,3.73507778586607e-09
"C21orf58",156.649056195423,-1.25605754311514,0.187102731980035,-6.7131972356725,1.90405461412163e-11,4.1798880971288e-09
"RTN1",482.453414467376,-1.63807033254014,0.244076107328284,-6.71130964218848,1.92885305603664e-11,4.18072795930574e-09
"BRSK1",129.006131586628,-1.19686713768674,0.178615084306022,-6.70081780795253,2.07256318256549e-11,4.43606242188361e-09
"F7",14.8074812081447,-1.69646589375314,0.253397557309742,-6.69487863957367,2.15850691769989e-11,4.56297703108337e-09
"SMIM32",114.816697488672,-1.86889468510172,0.279594200996589,-6.68431132849039,2.32013098665625e-11,4.84482962006279e-09
"ASB16",30.4701972191967,-1.21037666316478,0.181454581004942,-6.67041116549059,2.55087743938606e-11,5.23985852250434e-09
"FBXL16",206.084614544893,-1.57903322909801,0.236761958989532,-6.66928604509403,2.57050818133717e-11,5.23985852250434e-09
"NOVA1",85.3951953342564,-1.53984317092916,0.231036510877099,-6.66493432178038,2.6478373932016e-11,5.33399055103423e-09
"ZCCHC18",42.4089100044801,-1.35643736936363,0.203740273489607,-6.6576791428172,2.7818523830325e-11,5.53879748310065e-09
"CCDC151",21.0968148909233,-1.51915099986763,0.229718530849951,-6.61309731629755,3.7636085302904e-11,7.40738722576581e-09
"TUBA3FP",11.5763640272419,-1.41317424733593,0.213841684100816,-6.60850691144801,3.88215417702583e-11,7.5538779515015e-09
"ASCL1",13.7874277730475,-2.18625069520749,0.33148117738879,-6.59539920917821,4.24113085589114e-11,8.15964984780046e-09
"NECAB2",77.2522055100208,-1.79437875956218,0.27309874519924,-6.57043941469993,5.01669934609242e-11,9.43966405529017e-09
"DLGAP3",33.7644713559886,-1.52535867424798,0.23284461697059,-6.55097246435654,5.71635996758238e-11,1.06392643179253e-08
"SNPH",245.306588380646,-1.05520878581228,0.161165236621193,-6.54737217488454,5.85583038404209e-11,1.07816541576293e-08
"MAPK8IP2",270.79358895554,-1.57196421850879,0.240200453029454,-6.54438490303778,5.97407527868721e-11,1.08823501060597e-08
"PRRT3",141.524709190317,-1.08622564941022,0.166088230893046,-6.54005189633035,6.14974897330605e-11,1.10844370178863e-08
"C1orf230",15.1628444181095,-2.11196709017978,0.323152095248193,-6.53552033619867,6.33887678053344e-11,1.13063111576119e-08
"SNAP25",434.754135846216,-1.75754576649576,0.269090144093409,-6.53143864639525,6.5140906863214e-11,1.14990489507094e-08
"ATCAY",38.9881204849455,-1.89605496726389,0.290770231831853,-6.52080151162221,6.99326778569049e-11,1.221895145861e-08
"PTPRN",2754.43307845278,-2.04995914163329,0.31468487713349,-6.51432366342694,7.30179021259924e-11,1.2629146849529e-08
"SRCIN1",223.638534832818,-1.22635679748502,0.188561087813915,-6.50376390857097,7.83348064348033e-11,1.34132689058314e-08
"GRIK5",171.75670123557,-1.59707562557286,0.245804303579346,-6.49734606887111,8.1749266158173e-11,1.3734133549227e-08
"UCHL1",774.841474609728,-1.26315985832149,0.194415165424647,-6.49722903849839,8.18128611821032e-11,1.3734133549227e-08
"DUSP15",30.6207371590499,-1.28355305508935,0.197713561501579,-6.49198287330985,8.47138910925139e-11,1.40830675454089e-08
"SLC29A4",614.971567907972,-1.60457575528449,0.24741699657308,-6.48530932599266,8.85499219566939e-11,1.4408699423489e-08
"C9orf45",101.78452555342,-1.02256108718146,0.158139335166954,-6.46620327638221,1.00495870743e-10,1.60821569601157e-08
"CPLX2",1243.5367995402,-2.34001410587788,0.362245829630647,-6.45974063597586,1.04882583505822e-10,1.66287451608351e-08
"MAP6",315.849209033184,-1.25369701668129,0.194376893846988,-6.44982534636135,1.1197912316657e-10,1.75909956512035e-08
"KCNH2",536.372233663718,-1.48569319426526,0.230693703718717,-6.44011158655958,1.19385697311509e-10,1.8584011773318e-08
"SVOP",145.168421801254,-2.19232014101091,0.34064441593628,-6.4358023746997,1.22822754927005e-10,1.89467930866226e-08
"DRAIC",23.3749748979581,-1.826839685209,0.283921910628085,-6.43430329546498,1.24040957959864e-10,1.89638689566674e-08
"CTSL2",168.243924874808,1.25798041595907,0.196184431216719,6.41223367296366,1.43402804571233e-10,2.13520541102019e-08
"GPX3",4146.43323544495,-1.42592842825159,0.22237492037666,-6.41227178782727,1.43366945869112e-10,2.13520541102019e-08
"LOC100272217",42.2051984439184,-1.08672350983305,0.169464549760761,-6.41268932863669,1.42974694215419e-10,2.13520541102019e-08
"PRLR",200.870732176333,-1.49527819389863,0.233318332959917,-6.40874711785083,1.46720317592923e-10,2.15781614165376e-08
"TTC18",90.7885436577689,-1.26073077589534,0.196743280997153,-6.40799914236252,1.47441738348123e-10,2.15781614165376e-08
"CLGN",106.961513307591,-1.88367581322853,0.295097674496369,-6.38322825296172,1.73393157937809e-10,2.49496726333538e-08
"ATOH8",168.437903345626,-1.11632242962483,0.175503998651876,-6.36066664121498,2.00879988022051e-10,2.84270085529056e-08
"BAIAP3",907.104938421736,-1.52218528742628,0.239304726039172,-6.36086596625389,2.00619452967682e-10,2.84270085529056e-08
"CXorf57",134.913455762381,-1.38586876955847,0.219378567834807,-6.31724777509732,2.66262503649225e-10,3.70667711380949e-08
"GNB3",40.1773578585171,-1.04886986418256,0.166095676871411,-6.31485348649125,2.7041754401194e-10,3.73416097267455e-08
"PHF21B",17.885596037342,-1.74099840064354,0.275886420820206,-6.31056213447394,2.78023762868604e-10,3.80848071327929e-08
"LASS1",55.5173591928075,-1.46333725648942,0.232058580481239,-6.30589592272251,2.86531538237291e-10,3.89387264225169e-08
"ZNF540",91.5413543030717,-1.01712953255068,0.161580240728056,-6.29488808760061,3.07621716230905e-10,4.14756428899353e-08
"HAP1",39.3822050960536,-1.4382892936765,0.229240252528849,-6.27415681936356,3.51534066398306e-10,4.70259204604547e-08
"BEX1",624.680920407951,-1.94170521798719,0.309746666020051,-6.26868803121032,3.64102767438739e-10,4.83297029988645e-08
"NACAD",251.625928116037,-1.25706243251361,0.200946336602788,-6.25571211580956,3.95706102886345e-10,5.21205815363298e-08
"BSN",115.583432949702,-1.51417685500749,0.242297982037756,-6.24923427868889,4.1246982616175e-10,5.39138994913561e-08
"EFR3B",95.8368170804983,-1.16856949422066,0.187130800437797,-6.24466678647646,4.24704528436902e-10,5.5092542730493e-08
"GPRASP1",508.83568651368,-1.14656885498288,0.183672293962204,-6.24247038161792,4.30713356042807e-10,5.54519157557968e-08
"FAM179A",54.2523173138326,-1.47680622365293,0.236703412044077,-6.23905760757659,4.40214866144056e-10,5.62522324849602e-08
"LRRC24",38.1061600132329,-1.6915086710836,0.27170745289412,-6.2254776343686,4.80091141129375e-10,6.08933378485799e-08
"DPY19L2P4",6.20671853121476,-1.7006092098989,0.273373081832356,-6.22083636947761,4.94511683540543e-10,6.0917435663775e-08
"EFNB3",166.559928933358,-1.31619864913057,0.211568335900275,-6.22115140023115,4.93519644514948e-10,6.0917435663775e-08
"MAPK8IP1",528.584645514148,-1.17630925245586,0.189017271363039,-6.22328977650179,4.86836999068464e-10,6.0917435663775e-08
"RSPH4A",16.5017195759588,-1.37353583616705,0.220939261262118,-6.21680288202606,5.07386492750186e-10,6.20569922525816e-08
"OGDHL",197.739474769461,-1.77466111873433,0.285794479085934,-6.20957103303847,5.31294300364085e-10,6.45202291144272e-08
"CELF6",107.512821793889,-1.06857919796941,0.172270717176885,-6.2029067706975,5.54296791658187e-10,6.64186302090787e-08
"CACNA2D2",437.316382164803,-1.71507467261288,0.276878690779713,-6.19431805236831,5.85379171968018e-10,6.91272245628163e-08
"TTC23L",7.12730063573822,-1.3199835789043,0.213201945978414,-6.19123607360481,5.96942251659755e-10,7.00098779121232e-08
"ZDHHC22",8.54504259492364,-1.90746788601189,0.309129786048964,-6.17044352274019,6.80986970757718e-10,7.82586570488886e-08
"DPP6",274.050594640555,-1.96312162690022,0.318765130631703,-6.15852061048792,7.34276294626661e-10,8.38200866192821e-08
"GIPR",155.933181960631,-1.40379745164527,0.228060731382812,-6.15536678819521,7.49039339136282e-10,8.49390768478845e-08
"INA",191.338786695309,-1.81307625671831,0.295477393787183,-6.13609127073923,8.45765776480101e-10,9.46539045141749e-08
"BCAM",3171.87030032074,-1.07598976837099,0.175461771452471,-6.13233161539381,8.66003499367356e-10,9.56682446430144e-08
"REM2",22.6074389465601,-1.0212016058685,0.166522866738528,-6.13250075421757,8.65082987202397e-10,9.56682446430144e-08
"PPP1R1A",473.327290078002,-2.04378059541492,0.33347537420948,-6.12873019562478,8.85831950082282e-10,9.72314133414032e-08
"SYT4",326.29526385529,-2.06234905423897,0.337455951315494,-6.11146149949164,9.87228210156712e-10,1.07670755684799e-07
"SSTR2",91.4779219379305,-1.40605569107386,0.230189518136179,-6.10825246283389,1.00727932375389e-09,1.09162302915429e-07
"RIC3",115.745786983124,-1.43819671432982,0.235611268786342,-6.10410835499558,1.03376140654187e-09,1.11327651347273e-07
"TAT",10.6912801431866,-1.71828280188676,0.281915693819975,-6.09502358170955,1.09421319908451e-09,1.17101328799525e-07
"ASPDH",12.1241417206237,-2.00319823900524,0.329193069705529,-6.08517743340451,1.16362372371323e-09,1.23756080876656e-07
"BTBD17",7.59620722980069,-2.00053280678397,0.328960175927993,-6.08138295506586,1.1915032910083e-09,1.25938955876143e-07
"LHFPL4",155.924603941981,-1.91757003304993,0.315595855365633,-6.07603046886763,1.23194011749705e-09,1.2793595575587e-07
"SNAP91",103.163188530466,-1.67661921886709,0.275945049235264,-6.07591701142514,1.23281158089812e-09,1.2793595575587e-07
"MAMLD1",269.733022772097,-1.06515463349706,0.175371499748244,-6.07370430786162,1.24992793921878e-09,1.28930819899055e-07
"MYT1",34.5803081021596,-1.8729822943034,0.309184032410304,-6.05782349011431,1.37975674350429e-09,1.41470507299545e-07
"TMEM151B",26.4371757465756,-1.03612920833764,0.171568471822407,-6.03915857809907,1.54919938288987e-09,1.57898458531091e-07
"ASTN1",51.4962250341906,-1.76620681910913,0.292610101565588,-6.0360418511158,1.5794030717719e-09,1.60024371585505e-07
"GPR113",15.1892198163985,-1.26314764080485,0.209433901280008,-6.03124724834332,1.62699037481897e-09,1.63876212870736e-07
"GNAZ",276.572219662142,-1.23358123231276,0.204672305395628,-6.02710381323094,1.66923791630862e-09,1.67148309011418e-07
"SYN1",173.117964393969,-1.17821703686227,0.195593672940727,-6.0237993343441,1.70369573745267e-09,1.69606872746523e-07
"FAM123C",81.8592568495142,-1.93094336519016,0.321144511170028,-6.01269303390906,1.82466354738893e-09,1.80203535580499e-07
"UBE2QL1",138.661036795084,-1.25363658758654,0.208791566292318,-6.00424916508069,1.92219324089109e-09,1.87009743544194e-07
"DNAI1",9.94283379097437,-1.83380172637734,0.306173202531737,-5.98942595633352,2.10582974732297e-09,2.03718207702888e-07
"C12orf34",234.038215230064,-1.42714091370403,0.238329043075738,-5.98811162620454,2.12291350731892e-09,2.04217123515853e-07
"FBXO15",15.5366538333612,-1.33851550212621,0.225050061349597,-5.94763446896792,2.72045259371343e-09,2.49103260760188e-07
"SHANK1",19.940306642065,-1.29859933481828,0.218764768550966,-5.9360533390263,2.91964849012372e-09,2.65920963278662e-07
"GCK",104.429519328284,-1.76656565039458,0.297784096165711,-5.93237071133417,2.98591496970671e-09,2.70517576858667e-07
"C5orf49",37.7505925337461,-1.44816023558489,0.244494721498447,-5.92307362183312,3.15979294823257e-09,2.8395975285189e-07
"KCNJ11",248.205634414766,-1.35911521471596,0.229486865200759,-5.92240960512919,3.17258204543716e-09,2.8395975285189e-07
"P2RX5",145.449185032934,-1.47197006375751,0.248567298252699,-5.92181704554342,3.18403740860613e-09,2.8395975285189e-07
"GPR98",96.0559236656075,-1.70759420315372,0.288625583344768,-5.91629537258992,3.2927367139791e-09,2.92132283696705e-07
"FGF17",10.8459773723546,-1.50837625990364,0.255088745256267,-5.91314312353647,3.35640285264483e-09,2.96245804359986e-07
"CNIH2",128.188876989095,-1.60387783393751,0.271370576894536,-5.91028641458367,3.41513401841037e-09,2.99883793832004e-07
"PIPOX",68.8466932467948,-1.25950020046728,0.21336108552021,-5.90313925989084,3.56648971525059e-09,3.09994941087491e-07
"SCN3B",113.910143796392,-1.36724315190135,0.231587575287228,-5.90378456273233,3.55256022418769e-09,3.09994941087491e-07
"SLC22A17",937.944645791797,-1.06825989454461,0.181360325425966,-5.89026233844449,3.85583024876527e-09,3.33451420957615e-07
"GADD45G",380.434152955905,-1.07450462382024,0.182495251458143,-5.88784976724008,3.91252519779762e-09,3.36654115386375e-07
"CACNA1B",36.5536570301969,-1.78567158432299,0.305133148751514,-5.85210617603908,4.85386580934784e-09,4.07415413007172e-07
"KLHL32",18.1023578498947,-1.33691951354411,0.228645544663068,-5.8471268946622,5.00135982062147e-09,4.13711517915466e-07
"RGAG4",347.320673199913,-1.07797160013408,0.184673074984295,-5.83718877386836,5.3088935251346e-09,4.37039345340768e-07
"GDAP1L1",22.6861359833293,-1.76857106589065,0.303219854523808,-5.83263608733045,5.45584743419439e-09,4.46987921606271e-07
"SLC8A2",152.853849653566,-1.78538179676962,0.30769257262821,-5.80248584331909,6.53389121036761e-09,5.32761043786308e-07
"CDO1",174.047723738007,-1.16290527808414,0.200766645849461,-5.79232308814934,6.94194341833013e-09,5.58060550009703e-07
"TCAP",14.4341822459975,-1.26691947323794,0.218719880219798,-5.79242943972342,6.93754758038534e-09,5.58060550009703e-07
"APC2",17.9733809930982,-1.10073380464027,0.190297685320255,-5.78427321797332,7.28264959526374e-09,5.8000376288233e-07
"UCA1",488.652956067982,1.73344163913845,0.300145984496893,5.77532843574124,7.68031226664623e-09,6.08842532137886e-07
"SGSM1",181.540380840788,-1.29568947651904,0.224633053000844,-5.76802682957869,8.02050395903792e-09,6.32880595809245e-07
"RAB39B",74.745270869859,-1.43685818794856,0.249672120759645,-5.75498050634094,8.66517932934193e-09,6.77506235873616e-07
"RGS11",181.092654754645,-1.09917270340136,0.191259465341478,-5.74702382148188,9.08279375622469e-09,7.00561610305564e-07
"PTPRN2",2388.93082205962,-1.21762108142979,0.212181580853162,-5.73858049569549,9.54733829554565e-09,7.33090016298781e-07
"FAM171A2",60.5457744466859,-1.06709167829444,0.185992470289902,-5.73728429237585,9.62066919793984e-09,7.35422851233589e-07
"SLIT1",90.3777915952571,-1.6481258811636,0.287389551443178,-5.73481489806168,9.76188977074929e-09,7.429015046424e-07
"FSTL4",61.6927920609115,-1.63837886948598,0.285842831138217,-5.73174727860767,9.9401300993412e-09,7.52137812830661e-07
"KCNH3",47.0065810159537,-1.25982631204569,0.219821809001982,-5.73112521348749,9.97665827065363e-09,7.52137812830661e-07
"PACSIN1",64.1274726946636,-1.35493864255213,0.236822343045309,-5.72132943677914,1.0569373010605e-08,7.86344548652363e-07
"PROK1",8.4835427601131,-1.88086076994938,0.328823462071101,-5.7199713125783,1.06542040114085e-08,7.86344548652363e-07
"WNT4",593.942284868455,-1.42570451451491,0.249231984986415,-5.72039144411026,1.0627891362475e-08,7.86344548652363e-07
"KIAA1409",104.021740505431,-1.79577545020095,0.314069006673477,-5.71777352124381,1.07928859253921e-08,7.93161312019262e-07
"DPY19L2",68.9156480704807,-1.13683928590256,0.198937505205992,-5.71455485342195,1.09991565880174e-08,8.04865633575305e-07
"KCNH6",86.2217699863962,-2.03290666437118,0.356180729110764,-5.70751446729448,1.14637879632813e-08,8.28246587743739e-07
"PCDH10",39.9790502335646,-1.35091223609665,0.236674142589184,-5.70789956738769,1.14378874448435e-08,8.28246587743739e-07
"PSD",474.39817885123,-1.05942495229243,0.18597486851423,-5.6966027762583,1.2221822798698e-08,8.75624568125967e-07
